_ACN,Time_Date,Time_Local Time Of Day,Place_State Reference,Aircraft 1_Aircraft Operator,Aircraft 1_Mission,Aircraft 1_Make Model Name,Aircraft 1_Flight Phase,Component_Aircraft Component,Person 1_Function,Person 1_Qualification,Person 1_Human Factors,Events_Anomaly,Events_Detector,Events_When Detected,Events_Result,Assessments_Contributing Factors / Situations,Assessments_Primary Problem,Report 1_Narrative,Report 1_Synopsis
1659891,201906,0601-1200,US,Air Carrier,Passenger,A319,Initial Climb,Hydraulic System,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Situational Awareness,Aircraft Equipment Problem Critical,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; General Evacuated; General Maintenance Action,Aircraft,Aircraft,We taxied to Runway XX at ZZZ and all checklists were accomplished prior to departure. We departed Runway XX at ZZZ. After rotation Captain called 'Positive rate; gear up'. About the same time the Tower called and handed us off to Departure frequency. We checked in with Departure and he gave us a climb to 6000 feet and at about the same time we got an ECAM. The ECAM was for gear not up locked. While we were following the ECAM for the gear not up locked; Captain called for Flaps 1 and we got another ECAM for flaps locked and continued following the ECAM. While dealing with both of these ECAM messages we [advised ATC] as we realized we had multiple hydraulic issues as more ECAM messages popped in. The first was the green hydraulic system overheat. While addressing that we got the yellow system overheat and began to realize we had a serious hydraulic issue. We followed ECAM protocol and had a red 'Land ASAP' message along with several others. As we received vectors for ZZZ1 which was our request for our [situation]; we quickly assessed that we could have full flight control failure and asked to turn to Runway XXL immediately to land as quickly as safely possible. We had to gravity drop the gear; we had flaps jammed at Position 1 and we finished all ECAMs. ECAMs complete; screens normal. Ran landing checklist; let cabin attendants know we were diverting to Newark and to remain seated with seat belts fastened.The landing was normal and smooth. As the plane touched down I noticed the left side was a little lower than the right but the Captain was able to keep it on the centerline as he decelerated. Braking felt normal. As it slowed down we began to drift to the right and the Captain was able to keep it mostly on the high speed taxiway with just a small portion of the aircraft off the side. We completed the evacuation checklist per SOP and evacuated the aircraft. Both Captain and I followed checklist and SOP for verifying the aircraft was clear; and evacuated ourselves.,A319 flight crew reported multiple hydraulic failures shortly after departure resulting in an uneventful immediate diversion.
1661101,201906,0601-1200,US,Air Carrier,Passenger,B737-700,Takeoff / Launch,,Captain; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Situational Awareness,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Flight Deck / Cabin / Aircraft Event Illness / Injury,Person Flight Crew,In-flight,Flight Crew Returned To Departure Airport; Flight Crew Landed in Emergency Condition,Procedure; Human Factors; Aircraft; Company Policy,Human Factors,The First Officer was the Pilot flying on this leg.  We were in ZZZ on an originator. Runway XXR was the active runway.  During takeoff at approximately 90 knots the First Officer and I both started to smell a faint odor in the cockpit.  We briefly discussed it as it continued to intensify and I made the decision to continue takeoff.  As we passed through 500 feet AGL; the odor turned into heavy burning oil-like fumes.  I could noticeably feel tingling in my fingers and a slight light-headedness.  We both went on oxygen.  At approximately 800 feet AGL; the flight attendants called and reported significant fumes throughout the cabin.  I notified ATC; [advised]; and requested vectors for a return to Runway XX. We stopped the climb and while the First Officer flew the aircraft; I ran the Smoke; Fire; or Fumes Checklist using the QRC.  After completing that; the QRC directed us to the QRH; Smoke; Fire or Fumes Checklist.  The QRH checklist seemed designed for electrical fire/fumes; as it called for shutting down multiple electrical components. The First Officer and I agreed that what we currently had was not an electrical problem and decided to stop that checklist and prepare for the return.  We gathered landing data via [weight and balance system] and completed the Descent and Approach Checklists as well as quickly referencing the Diversion Checklist.  The First Officer flew the aircraft and prepared the FMC and cockpit for a landing on Runway XX at ZZZ. When I talked to the flight attendants a second time they reported the fumes were still very strong and I could hear them coughing while trying to talk.  We focused on getting the aircraft on the ground as quickly and as safely as possible.  I briefed the passengers on the PA and told them we would be returning to ZZZ.  When we were established on final approach; I took the aircraft from the First Officer and we made a normal landing (we were under max gross weight for landing).  We stopped on the runway to allow the Fire/Crash Crews to inspect the exterior of the aircraft.  They did not see anything out of the ordinary and we asked them to follow us to the gate.We pulled into the gate and had the passengers exit normally using the jet bridge.  The First Officer and I were on oxygen from 500 feet AGL after takeoff until engine shutdown at the gate.  After all passengers had deplaned; I debriefed with the crew.  All five of us reported symptoms that included headaches; numbness in fingers; soreness in throat/chest; shortness of breath; dry cough and light-headedness.  We went to a local emergency room and were released five hours later after continuous oxygen treatment and carbon monoxide blood tests.After the flight; Maintenance told us they had performed an engine wash the night before the incident and that it is possible that it had something to do with the fumes.  If that is the case; then perhaps the engine wash and subsequent engine run procedures need to be reviewed in an effort to prevent this type of event from happening again.,Flight crew flying 737-700 encountered fumes in the cockpit after takeoff.
1661166,201906,0001-0600,US,Air Carrier,Passenger,A319,Climb,Hydraulic System,Pilot Not Flying; First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Situational Awareness,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,We taxied to Runway XX at ZZZ and all checklists were accomplished prior to departure. We departed Runway XX at ZZZ for ZZZ1. After rotation Capt called 'positive rate; gear up'. About the same time the Tower called and handed us off to departure frequency. We checked in with Departure and he gave us a climb to 6000 feet and at about the same time we got an ECAM (Electronic Centralized Aircraft Monitor). The ECAM was for gear not up- locked. While we were following the ECAM for the gear not up-locked Capt called for flaps 1 and we got another ECAM for flaps locked and continued following the ECAM. While dealing with both of these ECAM messages we [notified ATC] as we realized we had multiple hydraulic issues as more ECAM messages popped in. The first was the green hydraulic system overheat; while addressing that we got the yellow system overheat and began to realize we had a serious hydraulic issue. We followed ECAM protocol and had a red 'land ASAP' message along with several others. As we received vectors for ZZZ which was our request for our emergency; we quickly assessed that we could have full flight control failure and asked to turn to Runway XXL immediately to land as quickly as safely possible. We had to gravity drop the gear; we had flaps jammed at position 1 and we finished all ECAMs- ECAM complete; screens normal. Ran landing checklist; let cabin attendants know we were diverting to ZZZ and to remain seated with seat belts fastened. The landing was normal and smooth; as the plane touched down I noticed the left side was a little lower than the right but the Capt was able to keep it on the centerline as he decelerated. Braking felt normal; as it slowed down we began to drift to the right and the Capt was able to keep it mostly on the high speed taxiway with just a small portion of the aircraft off the side. We completed the evacuation checklist per SOP's and evacuated the aircraft. Both Capt and I followed checklist and SOP for verifying the aircraft was clear and evacuated ourselves.,Flight Crew flying A319 encountered hydraulic failure after takeoff.
1661320,201907,0001-0600,US,Air Carrier,Passenger,A320,Descent,,Pilot Not Flying; First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Situational Awareness,Aircraft Equipment Problem Critical,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,Around the T/D (Top of Descent) for the ZZZZZ-3 into ZZZ; # 2 ACP (Audio Control Panel) went inop. Capt (PF) (Pilot Flying) gave me (PM) (Pilot Monitoring) the controls and said he would take the radios and I would fly the a/c (Aircraft). We sent MRM (Maintenance Reporting Manual). Right after that; we got an ELAC (Elevator Aileron Computer) # 2 fault. We followed the procedures in QRH (Quick Reference Handbook). After the process of QRH steps; we got a Left ELEV fault. We followed the steps in the QRH for that. At the same time ATC (Air Traffic Control) cleared us to descend via the ZZZZZ-3. With possible flight control issues; we agreed we should declare an emergency with ATC. The QRH referenced do not use Speed Brakes and possible Direct Law at gear down. So ATC cleared us straight to ZZZ for the RWY X ILS (instrument Landing System). The Capt took back the controls and I assumed the PM duties. We landed safely at ZZZ the and taxied to the gate.,Flight Crew flying A320 encountered multiple system failures prior to landing.
1661635,201907,,,Air Carrier,Passenger,A320,Descent,Elevator,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Situational Awareness,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Other / Unknown,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,I operated Aircraft X ZZZ - ZZZ1. I was the Pilot Flying. Flight was routine until we were about 170 miles out of ZZZ1. My First Officer was having problems with his radios when answering. We finally figured out that the problem was his ACP (Audio Control Panel) panel. It was causing problems with his speaker and Mic. He could only hear out of my side. I told him to make the landing and I will do the radios. It was just after that time we got a F/CTL ELAC 2 PITCH FAULT ECAM (Electronic Centralized Aircraft Monitor). We got the book out and went through the reset procedure. When we reset the ELAC (Elevator Aileron Control) we received a FLT CONTROL ELAC 2 FAULT and F/ CTL L ELEV FAULT. I should also mention that on takeoff on [Runway] 28L in ZZZ when I rotated the aircraft it felt unresponsive with pitch initially. I even mentioned to [First Officer] that the CG must have been wrong; so this now got my attention. Descent was now upon us and we started down. When reading the notes in the book about no use of the speed brakes and Flaps 3 landing with a note that said we would lose normal law and revert to direct law when we dropped the gear. I decided to try to communicate with Dispatch and Maintenance. I had them call me and with the radio issues and was able to confirm what we had read in the handbook. The work load was really starting to increase at this point. I told [First Officer] I would take control of the aircraft. With the degradation of the elevator system along with being unable to use the speed brakes to meet ATC constraints on the STAR; I decided to [advise ATC]. I briefed our Purser about the situation but did not prep the cabin. ATC got us right in and we landed on Runway 9 with no issues. It should be noted that when we dropped the gear we never did go to direct law. We did have elevator flutter on the descent however.,Flight crew flying A320 encountered multiple system failures in flight.
1661909,201907,1201-1800,US,Air Carrier,Passenger,A319,Climb,Hydraulic System,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Situational Awareness,Aircraft Equipment Problem Critical,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft,Aircraft,Departing ZZZ on the ZZZZZ departure and above 10;000 MSL ECAM indicated a loss of the Green Hydraulic System/Hydraulic System Pressure Low. Followed ECAM procedure and followed up with appropriate QRH procedure which included gravity fall of the landing gear and loss of nose wheel steering. Dispatch was notified of intent to declare an emergency; flight attendants were briefed and brief description of situation provided to the passengers. [Advised] with ATC and coordinated with dispatch for emergency equipment to be available upon arrival at ZZZ1. Requested relief from ATC from the ZZZZZ1 STAR and requested an ILS to Runway XXR. Landed without incident and cleared Runway XXR at Intersection Q. Stopped between runways XXL and XXR and waited for tow to gate.  Following arrival debriefed with all crew members aboard.,Flight crew stated failure of the Green Hydraulic system caused loss of hydraulic gear extension and nose wheel steering; resulting in an priority landing.
1661975,201907,1201-1800,FO,Air Carrier,Passenger,B777-200,Takeoff / Launch,Nose Gear Door,Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Situational Awareness,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft,Aircraft,Upon gear retraction after takeoff; got lots of noise and vibration from front left area of the cockpit. No warnings or instrument indications of anything wrong were ever presented from the aircraft. As speed increased and we cleaned up and accelerated on an NADP1 schedule; vibrations became greater and wind noise very loud.  We got as fast as 240 knots indicated. I directed the First Officer (Pilot Flying) not to accelerate any more. At FL150; we leveled off and I directed the First Officer to slow the aircraft. I worked with ATC to allow us time to investigate. Engines; doors; windows; packs and pressurization were all normal. Discussed with the First Officer; and decided to return to ZZZZ and check the aircraft on the ground. No fuel dump required; no emergency was declared. We put the gear down at 25 miles to touchdown; and the noise and vibration reduced significantly. All gear indications were in the green. Landing by First Officer was uneventful.  The brace from the nose gear to the left nose gear door had broken; and the door was swinging freely on its two hinges. The gear door had a crack in it near the rear hinge.,B777 Captain reported after gear retract; noise and vibration were heard/felt; resulting in a return to airport.
1662605,201907,0601-1200,US,Air Carrier,Passenger,B737-700,Descent,Powerplant Lubrication System,Captain; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Troubleshooting; Workload,Aircraft Equipment Problem Critical,Person Flight Crew,In-flight,Flight Crew Inflight Shutdown; Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft; Human Factors,Aircraft,Descending into ZZZ on ZZZZZ STAR at FL280; First Officer pointed out appearance of engine compact indicators and boxed low oil quantity indications on center DU. I asked fight attendants to look at Number 1 engine for indications of streaming fluid. First Officer with concurrence pulled back Number 1 engine to idle. Oil pressure started to fall and was soon highlighted. Oil temperature on Number 1 was slowly rising to match Number 2 which had a much higher power setting. QRH consulted for engine low oil pressure; recommending engine shutdown. Flight attendants reported no visual streaming. I assumed Pilot Flying duties and engine was shut down in accordance with QRH procedures directed by First Officer. First Officer sent message to Dispatch informing of situation and declared an emergency with ATC (TRACON).I informed flight attendants of engine shutdown and expectations of normal landing; rollout; inspection by ZZZ Fire Department; and then taxi to gate. I made similar PA to Passengers. The flight attendants calmly secured the cabin for arrival. First Officer got 15 flap numbers from [weight and balance system] and directed the One Engine Inoperative Landing Checklist in the QRH covering all contingencies. Flight touched down uneventfully on Runway 30 in ZZZ. I intentionally rolled past [first taxiway] high speed to [second taxiway] to meet awaiting fire truck and not shut down arrivals into ZZZ. First Officer retrieved the brake cooling requirements and determined the Safety of inspection by ZZZ Fire and ability to taxi to gate. Fire inspection observed small amount of oil smoke from oil in the aft engine area and recommended they follow us to gate which they did.,B737 flight crew reported the loss of the Number 1 engine oil pressure during descent; which resulted in a an inflight engine shutdown.
1662620,201907,0601-1200,US,Air Carrier,Passenger,B737-700,Initial Approach; Taxi,,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Distraction; Situational Awareness,Conflict Airborne Conflict; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented; Flight Crew Took Evasive Action; Flight Crew FLC complied w / Automation / Advisory,Human Factors; Procedure,Human Factors,The Captain briefed and we set up for the ILS PRM (Precision Runway Monitor) Approach. We both selected the Localizer in our active NAV radios. I don't know when he switched his frequency to the VOR after his brief. I verified I was 'tuned and identified.' Approach gave us the final turn to intercept the localizer and cleared us for the ILS PRM Approach. After the clearance; I saw that his Localizer frequency wasn't tuned correctly and I verbalized he needed to switch back to the Localizer frequency. VOR/LOC was engaged prior to him switching to the localizer frequency. While he was selecting the localizer frequency; I was verifying it was tuned and I did not notice if he had re-engaged VOR/LOC. Approach switched us to Tower. As I switched frequencies and selected the Final Monitor in VHF 2 we received a TA.I saw Company turning onto their Localizer for the left runway; then I saw we had blown through our course and verbalized he needed to correct back to the right. At the same time; Final Monitor asked if we were on frequency. I responded with an affirmative; and he cancelled our approach clearance and instructed us to descend to 3;000 feet and then said to report re-established on the Localizer. The Captain disengaged the autopilot; but was not descending. I verbalized 'descend now' and I engaged Vertical Speed at a 1;000 FPM descent to give him guidance. The Final Monitor asked; 'Do you have the runway in sight?' We did. He cleared us for the approach; and I noticed the aircraft was turning left again. The Captain didn't realize he had not re-engaged the autopilot. I told him 'you are still hand flying; turn right.' At that time; the Final Monitor queried us again. 'It looks like you are lined up for the wrong runway.' I confirmed we were correcting. He issued our landing clearance. After landing; we were cleared to taxi via the [Taxiway] loop. Upon reaching Taxiway and prior to my check-in with Ground; we heard a stuck MIC on frequency. The Captain continued to taxi while I attempted to contact Ground. I contacted Ramp to inform them of the stuck MIC on Ground frequency. The Ramp Controller cleared us in and queried 'So you didn't contact Ground?' I confirmed that we hadn't because of the stuck microphone. We taxied in and parked.,B737-700 flight crew reported their aircraft overshot approach into a TA with parallel traffic. Also; First Officer reported a stuck MIC on Ground Control and was unable to make contact.
1663642,201907,0601-1200,FO,Air Carrier,Passenger,B737 Undifferentiated or Other Model,Takeoff / Launch,,Captain; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Situational Awareness; Communication Breakdown; Time Pressure; Training / Qualification,Deviation - Speed All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance; Ground Event / Encounter Ground Strike - Aircraft,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Returned To Departure Airport,Human Factors,Human Factors,Just prior to push back; takeoff data was rejected due to GW (Gross Weight) greater than TOW (Takeoff Weight).  New takeoff data was requested with an incorrect takeoff weight (TOW).  A TOW of 106.7 was entered vs. the correct TOW of 160.7.  During taxi; before takeoff checklist was accomplished; incorrect weight was not caught by crew.  During takeoff; pilot flying rotated at VR (Takeoff Rotation Speed) on the FMC (Flight Management Computer) takeoff page and speed tape.  Rotation was recorded at 11.4' and tail strike occurred.  On climb out airspeed was low; stall warning activated; PM (Pilot Monitoring) called airspeed; pitch was lowered; aircraft accelerated and departure was continued.  All altitude constraints and SID (Standard Instrument Departure) routing were met.  During climb out flight attendants contacted cockpit and confirmed a tail strike.  Crew continued departure; cleared terrain; completed QRH (Quick Reference Handbook) tail strike checklist and coordinated descent from 19;000 feet with ATC (Air Traffic control).  Company/Dispatch was notified.  Aircraft held; burning fuel to reduce to landing weight.  Aircraft landed without further incident.,B737 flight crew reported being provided incorrect takeoff weight data resulting in tail-strike on takeoff.
1663899,201907,0601-1200,FO,Air Carrier,Passenger,B737 Next Generation Undifferentiated,Takeoff / Launch,,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Confusion; Situational Awareness,Deviation - Speed All Types; Deviation / Discrepancy - Procedural Weight And Balance; Ground Event / Encounter Ground Strike - Aircraft,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport,Human Factors,Human Factors,This was my first trip flying with this Captain. First flight was to ZZZZ in Aircraft X. During my walk-around I took a picture of the tail skid; which had a small amount of green visible on the warning decal. I showed this to the CA (Captain) when I returned to the cockpit for SA (Situational Awareness). All phases of ground ops were normal. Captain was PF (Pilot Flying). We got to know each other more during cruise and found out we lived very close to each other. He thoroughly briefed the planned arrival and landing into ZZZZ. We reviewed all Jepps thoroughly and complied with all checklists. He flew the ILS Runway 07 to a very good landing. We had normal ground ops at ZZZZ. [The next day] when we arrived at the aircraft our FAs (Flight Attendants) from the prior day were on board. During my walk-around I found the tail skid had the same small amount of green visible on the warning decal as the day prior; so I did not take a picture as it was exactly the same as the day prior. I updated the CA with this info when I returned to the cockpit. My preflight ops were normal. I got departure clearance and final weights came in. I rejected the FMC (Flight Management Computer) takeoff data because the GW (Gross Weight) was 160.7 and the TOW (Take-off Weight) was 160.2. I requested ACARS takeoff performance for 160.7. I was expecting to do this because the CA had added on an extra 1000 fuel for weather. During pushback and engine start ACARS alerts were received by both of us and the FMC was updated. I checked the take-off data for correct altitudes. I set flaps 1 and called ground for taxi. During taxi; the before takeoff checklist was accomplished. I was verbalizing ACARS printouts on my yoke and verifying on the FMC pages. I set V2 of 130 in the speed window. I said that was a low V2. I adjusted the trim. We gave way to an aircraft crossing on 'G' as we taxied down 'A' and monitored Tower. When we got to the end of the taxiway; the CA asked if we were all caught up and I said we were. We transferred aircraft control lined up on centerline for Runway X. I held the brakes with my feet. Once cleared; takeoff roll began and I rotated at VR of 124. The aircraft felt light and different during my slow pull back on the yoke; so I slowly pulled a little more. It felt like a long time for the aircraft to lift off. I felt and heard a thump. I saw the taxiway for Runway XX to the right. Once airborne; the gear was retracted; I said that we met 3460 ft; then the CA said to watch my speed. I lowered the nose and the stick shaker activated. I lowered the nose again and we began to accelerate and continued turn and climb for ZZZZZ above 5000 ft in VNAV/LNAV. An FA called and confirmed the tail strike. We cleaned up the aircraft; accomplished the After Takeoff checklist and checked in with Departure. We wanted to get above the MSA (Minimum Sector Altitude) of 12900 ft before accomplishing another checklist. The autopilot was on and the CA started the Tailstrike checklist. We were above 18000 ft when the CA was able to coordinate a descent and fix for a holding pattern to burn fuel. We did not declare an emergency because we were unable return to ZZZZ due to our weight. Once below 10000 ft we manually depressurized the aircraft and entered a holding pattern at ZZZZZ1 at 9000 ft and 230 kts. ATC moved the holding pattern to ZZZZZ2 at 9000. In the holding pattern when the Tailstrike checklist was complete; the CA talked to the FAs; Dispatch and the passengers. The aircraft was stable - we aviated; navigated and communicated; so I started reviewing the ACARS print outs and ACARS messages. I found my error of 106.7 vice the correct weight of 160.7. I found the ACARS take off data warning message of assumed weight 106.7 less than final weight manifest of TOG 160.3. My heart sank! As weather moved in ATC reassigned the holding pattern to ZZZZZ1 at 9000 ft with 10-mile legs. We accomplished the Descent checklist and the CA briefed his approach andlanding for flaps 40 and autobrakes 3; ILS Runway X. ACARS comms were intermittent; so we manually checked landing distance for weight 146.0; applied corrections and verified runway length was greater than 7200 ft needed. The CA flew the ILS Runway X to a very good flaps 40 landing. We had normal ground ops to the gate at ZZZZ. The flight was just over 3 hours. The station wanted to know the CA's plan on what to do with the passengers. They gave the CA a message to call the Chief Pilot. I wanted to do a walk around to see the tail but moved quickly because there were so many people. There was a small amount of red visible on the warning decal on the tail skid. When I returned to the cockpit the Ops General Manager asked the CA to fill out a form and took pictures of our licenses for the [local aviation authority]. Later two [local] officials; who identified themselves as [aviation authority]; wanted information. They did not present any identifications. We asked FA to interpret. After all the passengers deplaned; they needed to move to the aircraft. We coordinated to complete our paperwork in the Operations office. We were delayed exiting Customs because the general declaration from the previous date was not acceptable and required extra coordination. After the CA completed the form for the General Manager; he helped to interpret the additional paperwork for the [local] officials who had followed us to Operations. After coordination with Scheduling we took a taxi to the hotel.,B737 First Officer reported entering an incorrect gross weight into the FMC for obtaining takeoff performance data. Subsequent takeoff resulted in a tail strike.
1663905,201907,0001-0600,FO,Air Carrier,Passenger,B737-800,Takeoff / Launch,,Pilot Not Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Situational Awareness,Deviation - Speed All Types; Deviation / Discrepancy - Procedural Weight And Balance; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Strike - Aircraft,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed As Precaution; Flight Crew Returned To Departure Airport; General Maintenance Action; General Flight Cancelled / Delayed,Human Factors,Human Factors,At the airport we reviewed the flight plan and weather. There was an alternate and I added 1000 lbs of fuel. The aircraft was preflighted and we briefed. The brief included taxi; terrain; engine failure/t procedures and takeoff profile. The station and ground crew were ready to close/push early. I felt as though they wanted us to push early. We did not push until 5-10 min prior push time. The takeoff data was initially rejected the GW was greater than the TOW. The First Officer entered a takeoff weight of 106.7 vice the correct weight of 160.7. Also the takeoff data was for a flaps 1 takeoff. Both engines were simultaneously started after push. The taxi is relatively short and there were only 1 or 2 aircraft waiting for takeoff. During the taxi; the before takeoff checklist was completed; the incorrect weight was not caught by the crew. We held on the taxiway for a prop aircraft to clear. We took the runway and the aircraft was given to [the First Officer]. There is an upslope [this runway]; however; I did not feel the acceleration was unusually slow. During takeoff roll the aircraft was on centerline but the runway/roll was bumpy. I called out V1; Rotate. The pilot flying initially rotated to 6 degrees at a normal rate and momentarily stopped rotation. Then the rotation continued. The pitch was recorded at 11.4 degrees and the tail strike occurred. With a positive rate the gear was raised. On the climb out I believe the pitch was high greater than 15 degrees and the airspeed was low (and decreasing). At some point during this time the stick shaker activated. I called out airspeed; [First Officer] lowered the pitch and airspeed increased. We continued climb out flying the departure; all altitude and speed constraints were met. During climb out the flight attendants contacted the flight deck and confirmed a tail strike. We continued to fly the aircraft; [after] clearing high terrain I opened the tail strike checklist in the QRH. The aircraft leveled at 19000 ft. [and] was pressurized. We coordinated with ATC for a descent first to 12000; then 10000 ft. and eventually 9000 ft. At 9000 ft. via the checklist we set the outflow valve to manual. We held as shown on the approach charts. We held to burn fuel to the max limit landing weight. We talked and decided not to landed overweight and risk structural damage. We held for over 2 hours. ATC; the company/dispatch; flight attendants and passengers were notified of our situation and intended return to [departure airport]. The aircraft landed (flaps 40 brakes 3) without further incident. The passengers were boarded off the aircraft and handled by station personnel.,B737-800 Captain reported a tail strike occurred on takeoff when the First Officer entered an incorrect takeoff weight that was not caught by either pilot.
1664312,201907,,US,Air Carrier,Passenger,B737-700,Climb,APU,Pilot Flying; First Officer,,Time Pressure; Workload,Aircraft Equipment Problem Critical,Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,We started the day with the #2 generator not connecting after engine start.  It was then MEL'd so we had to use the APU in flight.  On our fourth leg; (ZZZ to ZZZ1) during the climb to FL410; the APU shutdown disconnecting the autopilot and leaving us with only the #1 generator.  We ran checklists; coordinated with Dispatch and contacted ATC with intentions.  We diverted to ZZZ2 [advised ATC] (since we were unsure why the APU shutdown) and landed without incident.,A B737 pilot reported that after being dispatched with an inoperative engine driven generator; the APU shut down in flight for an unknown reason; which necessitated a divert due to single generator operation.
1664343,201907,1801-2400,US,Air Carrier,Passenger,B737-700,Cruise,,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Situational Awareness,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,Person Flight Crew; Person Flight Attendant,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition,Aircraft; Human Factors,Aircraft,Just prior to the Top of Descent into ZZZ from ZZZ1; the flight attendants called to inform us of an odor described as 'burning rubber and electrical' centered around row 16. Several passengers noticed to odor as well. The flight attendants began their efforts to determine the source and we began the 'Smoke; Fire or Fumes' Checklist. A Company Pilot was in the back and after several minutes; the flight attendants and the pilot determined the odor was increasing. We [advised ATC] and were given direct to ZZZ. I then advised the passengers of the situation and that we were a [priority] aircraft. The flight attendants prepared the cabin for landing and the First Officer and I determined a diversion to ZZZ2 was not warranted. We landed on [Runway] XXL without incident. As we cleared the runway; CFR inspected the aircraft and found the left main landing gear brakes were glowing. We proceeded slowly to the gate with CFR in tow. We called Ops to inform ground personnel to avoid the aircraft until it could be determined safe to approach the aircraft.In retrospect; I should have briefed the flight attendants in the cabin for normal landing. On final we heard the commands from the cabin; which was not warranted at that time which surprised us because I had the First Officer check on the situation just prior to base leg one more time and the odor was stable. Earlier; I had informed the flight attendants an evacuation was not warranted. Although; if I had just asked them to secure the cabin and the situation escalated; we would regret not preparing the cabin. Also; a BRACE! BRACE! BRACE! command was not warranted or given over the PA; so I am not sure the 'Heads Down Stay Down' commands were correct procedure.  There was a breakdown in communication and of overall knowledge of cabin procedures on my part to have the proper game plan in place before arrival.,B737-700 flight crew reported strong burning rubber smell throughout the aircraft resulting in an uneventful landing at destination.
1664615,201907,0001-0600,US,Air Carrier,Passenger,B767-300 and 300 ER,Descent,,Dispatcher,Dispatch Dispatcher,Situational Awareness,Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,Captain called in to report that they had [notified ATC] upon landing of a very; very strong burning odor so much so that he (Quote 'Thought the aircraft was on fire'). He stated the emergency equipment fire department rolled trucks and were currently on the aircraft with the local maintenance crew looking over aircraft and especially in the E&E compartment; I advised Maintenance Control and they requested to speak with the Captain so I transferred call to them.,Dispatcher reported flight crew notification of a B767 burning odor event.
