 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
2075873,202401,,ZZZ.ARTCC,US,,,,21000,,IMC,,,,,,Center ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Climb,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 189.5; Flight Crew Total 12329.63; Flight Crew Type 12329.63,,,,,2075873,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 135; Flight Crew Total 5033.25; Flight Crew Type 5033.25,,,,,2075897,Aircraft Equipment Problem Critical; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Inflight Shutdown; Flight Crew Returned To Departure Airport; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,"Around 21;000 ft. we lost number 2 engine. The only ECAM I saw was ENG FAIL 2. I leveled the aircraft off. We told ATC; [requested priority handling] and began working the problem and heading back to ZZZ. I needed to get lower due to altitude capability as well as we weren't far from ZZZ so I continued down; realizing I wasn't cleared lower and busy flying the aircraft I remember seeing 20;700 and then ATC cleared me to a lower altitude. First Officer did a great job of communicating as he worked through the ECAM. Once the engine was secure; we discussed the approach into ZZZ. I believe the weather was approximately 600 OVC and 2 miles. I had the FO (First Officer) send a message to dispatch with our issue and intentions; briefed the flight attendants and notified the passengers. We did the overweight landing checklist and safely landed the airplane at approximately 177;700 pounds. We landed without incident and after fire and rescue made sure we had no external issues; we proceeded to the gate.",,"During climbout while passing thru FL210 we received an ENG 2 FAIL ECAM message. I also witnessed 10psi of oil pressure on the number 2 eng. My Captain announced that he had the aircraft and radios and told me to run the ECAM. I accomplished the required steps on the ECAM and shutdown the number 2 eng. After accomplishing the ECAM procedures I announced ECAM complete and resumed my duties as Pilot Monitoring. At this point I verified that my Captain spoke with the flight attendants and passengers. Then I sent a brief message to dispatch informing them that we had an engine failure and that we were returning to ZZZ. While the C was flying I programmed the FMS for the ILS [Runway] XXC into ZZZ. We then flew the approach and landed without incident.",,"A321 flight crew reported an engine failure during departure climb. Flight crew returned and landed at departure airport uneventfully.",
2075921,202401,1801-2400,ZZZ.ARTCC,US,,,,41000,,VMC,,,,,,Center ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Fire Protection System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 93.68; Flight Crew Total 462.65; Flight Crew Type 462.65,,,,,2075921,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed As Precaution; Flight Crew Landed in Emergency Condition,Aircraft; Software and Automation,Aircraft,"While preparing for the flight; we noticed an open inbound writeup for an issue with the aircraft's fire detection system. When we arrived to the aircraft; we were met by the contract mechanic who stated that he had tested the system; and found no faults. We conferenced Maintenance Control and we all agreed that the aircraft was not safe to fly; and they stated they would be flying a part in from ZZZ1; on a flight that arrived hours later. We obtained a day room and went to the hotel. We arrived back at the airport in time to depart at the expected departure time as given by Maintenance. Maintenance stated they had replaced a faulty part; it tested normally; and we were cleared to depart. A Maintenance Release was obtained; and we departed. Most of the flight was uneventful until we approached TOD (Top of Descent) for ZZZ. While at FL400; in clear; smooth air; both engines; and the APU fire warnings sounded; including the fire bell; Master Caution; and also associated Overheat lights. Each of the warnings was cycling on and off; at approximately 2-second intervals. At times; we were able to clear the warning; only to have it reappear seconds later. I transferred control to the FO (First Officer); and I referenced the FM (Flight Manual) for guidance (there wasn't any). I sent an ACARS message to Dispatch informing them of the issue and requested a phone patch with Maintenance Control (which never occurred). While waiting for a response; the FO and I agreed that ZZZ was the closest appropriate airport; and we should [request priority handling] as we have now lost the ability to detect any engine or APU fire or overheat. I [requested priority handling] with ATC and informed Dispatch of our intentions. I briefed the FAs on Brief items; but stated I did not wish them to prepare the cabin; nor did I plan to evacuate upon landing. We elected to stay at FL400 for a few minutes before starting the descent for favorable winds/groundspeed. Throughout the descent; the cycling of all of the fire warnings continued. We flew the visual approach to Runway XXL; and stopped on Taxiway 1. The FO coordinated with CFR (Crash Fire Rescue) and Airport Ops and they stated they had no indication of any fire or overheat condition; so we taxied to the gate. We requested CFR and Ops follow us to the gate. After parking; we debriefed the situation with maintenance (who met us at the gate); and I called the Chief Pilot). I then proceeded to the layover hotel.",,,,"B737 flight crew reported a malfunction with the aircraft fire detection systems. Flight crew diverted and landed uneventfully.",
2076330,202401,1201-1800,ZZZ.TRACON,US,,,,8000,,,,,,,,TRACON ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Initial Approach,,,,,,,,,,,,,,,,,,,,,,,,,,Flap/Slat Control System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,,,,2076330,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation,In-flight,Flight Crew Diverted; Flight Crew Landed in Emergency Condition; General Flight Cancelled / Delayed,Aircraft,Aircraft,"During the Arrival phase of landing into ZZZ; FO (First Officer) asked for flaps 1. With that; we incurred a FLT CNTL SLATS FAULT ECAM message. Reviewed Quick Items checklist and performed ECAM procedure. Procedure did not rectify situation and left flats in flaps 1 commanded position. Requested ATC to stay at 8;000' and asked for a vector away from ZZZ. Eventually was put in a holding pattern. FO assumed controls and radio in the holding pattern while Captain continued completing ECAM Procedures; ECAM Follow-ups; advising Flight Attendants and passengers of airport diversion due to an aircraft mechanical condition which required us to land at ZZZ1. FO sent a message to dispatch via ACARS; [advised air traffic control]; and requested from ATC [runway] XXR for landing; safety vehicles standing by; a 20 mile landing final and asked for gate availability in ZZZ1 through Dispatch. Once both Pilots were back together as Pilot Flying and Pilot Not Flying; landing Aassessment was reviewed; non-routine landing procedure was reviewed; approach briefing to RWY XXR was given; a summary of how a No Flap/No Slat Landing will be performed and final checklists were completed. finally; Captain assumed controls for the Approach phase; was given vectors to final approach course and executed landing to RWY XXR. Upon landing; aircraft was met by Safety Vehicles on Taxiway 1. Safety Vehicles accessed condition of Aircraft and after Safety Personnel gave Aircraft all clear message to Flight Crew; Aircraft taxied to the Gate escorted by the Safety Vehicles. Cause: The flaps remained in the flaps retracted position.",,,,"A321 pilot reported the flaps failed to extend during arrival. Flight crew diverted and landed safely.",
2076489,202401,1201-1800,ZZZ.ARTCC,US,,,,41000,,,,,,,,Center ZZZ,Air Carrier,B767-300 and 300 ER,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Pressurization System,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Troubleshooting; Workload,,,2076489,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Landed in Emergency Condition; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed,Aircraft,Aircraft,"On our flight from ZZZ to ZZZ1; our aircraft started losing pressurization after being level at 41000 ft. for roughly 30 minutes. The CAB ALT master warning went off and I saw the cabin was climbing uncontrollably. We proceeded to put on our Oxygen masks and [requested priority handling] while initiating a decent to 10;000 feet. The FO (First Officer) ran our checklists and we returned to ZZZ and landed with no further issues.",,,,"B767 Captain reported pressurization failure and a return to the departure airport.",
2076494,202401,1801-2400,ZZZ.TRACON,US,,,,,,VMC,,,,,,Center ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Descent,,Class A ZZZ; Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Troubleshooting; Workload,,,2076494,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,"Just before receiving descent clearance into ZZZ; felt rough vibration throughout the airframe and controls. Engine #2 subsequently failed.  Accomplished QRC/QRH/ECAM procedures; associated follow-ups; Non-Routine Landing and normal checklists. [Requested priority handling] with ATC; notified Dispatch through ACARS. Flew STAR routing during descent with altitude step-downs by ATC as requested. Accomplished Flaps 3 single-engine landing in VMC via ILS XX. Inspected by ARFF (Airport Rescue and Firefighting) after rollout. Taxied to the gate with one ARFF vehicle following as precaution.Cause: Insidious nature of vibration; event occurrence at the onset of a high-workload flight-phase; short distance and time to landing to complete all checklists; communications and notifications. Helpful to have a jumpseater upfront to provide overwatch of procedures and confirm ATC clearances.Suggestions: Unknown at this time until results of the failed engine inspection are complete and made available.",,,,"A321 First Officer reported an engine failure.",
2077159,202401,0601-1200,ZZZ.TRACON,US,,,,20000,,,,,,,,Center ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,FMS Or FMC; GPS,Climb,Direct,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Hydraulic Main System,,X,Failed; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Workload; Time Pressure,,,2077159,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action,Aircraft; Human Factors,Aircraft,"On climbout around FL 200 we received an ECAM of Yellow Hydraulic Low Pressure and almost immediately low level. We asked ATC to level off. We did the initial actions and then the Captain transferred controls to me and verified I had the radios. He asked me to notify ATC and ask to return to ZZZ while he ran the ECAM actions; follow-up; QRH; Non-normal landing distance; overweight landing; and non-routine landing procedures. He also kept the flight attendants; passengers and company in the loop while I flew the plane and got set up for the approach and landing back into ZZZ. We let ATC and the company know we would need to come to a stop on the runway and to be towed to the gate and requested emergency vehicles standing by. We proceeded with the approach and landing and complied with the QRH procedures. We came to a stop on the runway and had the ARTCC check us out and once clear we requested to be towed to the gate. We parked and ran the required checklists. ATC and the ARTCC crew did a great job. I was impressed the company was ready with the super tug and an open gate upon our return. The captain did a great job with decision making; keeping all parties informed; and dividing attention between managing the emergency and making sure the airplane was being flown safely. The Mechanic said when he opened the engine cowling; hydraulic fluid was everywhere. I don't know what caused the malfunction or how it could have been prevented.",,,,"Air carrier First Officer reported the yellow hydraulic system failed during climb on the A321.",
2077163,202401,1201-1800,ZZZ.Airport,US,,,,,,,,,,,,Tower ZZZ,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,GPS; FMS Or FMC,Initial Climb,Direct,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Trailing Edge Flap,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Distraction; Situational Awareness; Workload,,,2077163,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Workload; Distraction; Situational Awareness; Time Pressure,,,2077168,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Weight And Balance; Inflight Event / Encounter Other / Unknown,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Departure Airport; General Maintenance Action,Aircraft; Human Factors,Aircraft,"On flap retraction after TO XXC ZZZ; the TE (Trailing Edge) flap indication stopped between 1 and UP. We [requested priority handling] and returned after running the QRH flaps disagree checklist. Normal flaps 15  overweight landing on YYL ZZZ followed.  ARFF (Airport Rescue and Firefighting) noted slightly raised brake temps and followed us to the gate where we were met by maintenance. Cause: Mechanical malfunction.",,"After takeoff on XXC in ZZZ; I had asked for flaps up; per the normal retraction schedule.  The flap position indicator stopped between 0 and 1 yet the amber LE (Leading Edge) FLAPS TRANSIT light extinguished.  Captain requested a level off at 6000 feet on the departure and delay vectors in case of a possible return.  We assessed the situation and agreed the appropriate QRH procedure was for a Trailing Edge Flap Disagree while [requesting priority handling] and the need to return to ZZZ. I took over the radios and flew while Captain performed all the appropriate checklists; procedures and overweight landing considerations. After completing all the necessary tasks we started our return towards ZZZ; electing to land on YYL and have ARFF (Airport Rescue and Firefighting) standing by in case of hot brakes due to the overweight landing.  Captain took the landing then we taxied off the runway and had ARFF look at the brake temperature.  They noted they were slightly warmer than normal but not too hot to warrant any immediate fire concerns.  After we returned to the gate we deplaned and documented the maintenance issues while giving the description to the maintenance staff.  All parties involved in helping us deserve kudos for their professionalism.  Cause: Some sort of malfunction with the flap position indicator as it didn't appear there was any abnormalities with controlling the airplane.  Suggestion: Periodic flight control checks during routine maintenance work.",,"Air carrier crew reported a return to the departure airport; for an overweight landing; after a failed flap retraction during initial climb.",
2080794,202401,1201-1800,ZZZ.ARTCC,US,,,,32000,,,,,,,,Center ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Troubleshooting,,,2080794,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance; Ground Event / Encounter Weather / Turbulence,,,Automation Aircraft Other Automation,In-flight,Flight Crew Diverted; Flight Crew Inflight Shutdown; Flight Crew Landed in Emergency Condition; General Flight Cancelled / Delayed,Aircraft; Human Factors,Aircraft,"In Cruise at FL 320 we had an advisory on the N2 Vib indication; flashing at 4.7; as I was reaching for my QRH to look up the engine advisory information; an ECAM message was displayed; ENG 1 Stall.  We followed the ECAM procedures and immediately declared an emergency and requested a lower altitude. At an initial altitude of FL 240; we realized that we needed lower due to aircraft performance and descended to FL 180. During the decent with the #1 engine at idle; engine parameters normal except for the N2 Vib in the 4-5 range. As we continued to run checklists the vibration increased to a limit where we made the decision to shut down the #1 engine. A call to dispatch was made to notify them of our situation and our diversion airport and requested WX and Notams. Flight Attendants briefed and passengers notified. A normal landing with ARFF present in ZZZ and requested ARFF to follow us to the gate as well.  Logbook entries made for inflight shutdown of the #1 engine and overweight landing. Overweight; wet runways and possible ice accretion is why we decided on ZZZ. More available runway length.",,,,"A321 pilot reported increasing engine vibration in cruise and an engine stall message displayed. Flight crew performed inflight engine shutdown; diverted and landed safely.",
2081490,202401,0601-1200,ZZZ.Airport,US,,,,,,,,,,,,,Air Carrier,B777-200,,,Part 121,IFR,Passenger,,Climb; Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft Furnishing,,X,Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Service,Situational Awareness; Workload,,,2081490,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Flight Deck / Cabin / Aircraft Event Illness / Injury,,,Person Flight Attendant,In-flight,General Physical Injury / Incapacitation,Aircraft,Aircraft,"My entire cart fell over its side; crushing my toe; because the galley floor is bubbled up. It's common knowledge about these floors that need to be maintained/replaced/repaired on the B777 and on multiple wide body planes this is the same issue. Just on this flight today my crew named 4 other flight attendants they knew that this same incident had happened to. In their stories mostly the #2 being injured as they are on the cart by themself back there. I would be curious if you pull injury reports pertaining to 777 and/or 787 galley floors what would be found. As well as maintenance write ups and flight attendant reports. As the #2 I mostly set up the galley; so procedure is Flight Attendant (FA) 3 and 6 and 7 and 8 have carts in each aisle together. The 2 (me) is on a cart alone; going partially up aircraft right aisle from back; back to the galley; then partway up aircraft left aisle; a 'horse shoe' to help. When I pulled back from aircraft right to go up aircraft left aisle; I backed into the galley with the cart and tried to avoid this bulge; but the cart wheel caught it at an angle (not wheel straight back) causing the top heavy beverage cart full of sodas etc; to tip over and crash to the ground. I tried to catch it but it was way too heavy. It came down on my toe. I'm now out waiting for my appointment for an x-ray to see if my toe/foot is broken.If the company would properly maintain their aircraft and not create a hazardous working environment for crew in neglecting to do so. This could also jeopardize passenger safety as they pass through the galley; or heaven forbid if someone tripped in an evacuation. I don't think procedure is wrong; I feel it's safe to be on the cart by yourself if you have a level surface to work on. Just if someone else was on the other side in this instance MAYBE they could have helped catch it; but they're incredibly heavy so very likely not. We shouldn't have to speculate about catching carts working in unsafe conditions. Turbulence happens; but this was completely avoidable.",,,,"B777 Flight Attendant reported receiving an injury after a service cart had fallen over due to a damaged galley floor.",
2081927,202402,1201-1800,ZZZ.Airport,US,,40,,27000,,IMC,0.25,,Daylight,20000,,Center ZZZ,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,,Climb,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 228; Flight Crew Type 5416,,Workload; Troubleshooting; Confusion; Time Pressure; Distraction,,,2081927,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 208; Flight Crew Type 4382,,Time Pressure; Troubleshooting; Workload; Confusion; Distraction,,,2081946,Aircraft Equipment Problem Critical; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Returned To Departure Airport; Flight Crew Regained Aircraft Control; Flight Crew Inflight Shutdown; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition; General Flight Cancelled / Delayed,Aircraft; Human Factors,Aircraft,"Start picking up light chop and turbulence around FL230; PF increase the rate of climb to get out of the chop ride around FL260 start resuming normal rate and approximately FL270; IMC; with wing Engine Anti-Ice On there was a loud bang followed by high aircraft vibration; abnormal decreasing on N1 on the #1 Engine and autopilot disconnect. Maintain aircraft control; asked for lower altitude to return to VMC conditions at the same time that we complied with the appropriate QRC; QRH Checklists; clarify condition with PM and elected to shut the engine down. Vibration stopped. [Requested priority handling]; after that reengaged the autopilot; and at approximately FL190 exchange the flight controls. Talk to Dispatch; Flight Attendants; Passengers; ATC; review Diversion Checklist and divert to ZZZ. Exchange flight controls again and accomplish One Engine Inoperative Landing Checklist. Captain accomplished uneventful landing and rescue equipment standing by.",,"Climbing through FL270 in IMC with engine anti-ice on we experienced a loud bang followed by high airframe vibrations and uncommanded N1 rollback on the #1 Engine. The autopilot kicked off and the Captain hand flew the aircraft. We ran the engine severe damage QRC followed by the QRH. We [requested priority handling] and began a shallow descent to FL190. At that point we reengaged the autopilot and swapped controls. I took over Pilot Flying duties while the Captain reviewed the checklists and contacted Dispatch via radio patch. The Captain; Dispatcher; and I decided to divert to ZZZ. we returned to ZZZ and the Captain landed without incident.",,"A B737-700 flight crew reported a loud bang followed by excessive vibration in one engine and diverted to a nearby airport.",
2081933,202401,1801-2400,ZZZ.Airport,US,,15,,22000,,,,,Night,,,Center ZZZ,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,FMS Or FMC; GPS,Climb,Direct,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 165; Flight Crew Type 10000,,Distraction; Situational Awareness; Time Pressure; Workload,,,2081933,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Loss Of Aircraft Control,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; Flight Crew Diverted,Aircraft; Human Factors,Aircraft,"Climbing through about 22;000ft; we heard a load thud accompanied by a sudden yaw. I was PF (Pilot Flying). The autopilot was on. The autopilot remained engaged. I shallowed the climb. We analyzed the situation and determined that the # 2 Engine had seized. I instructed the FO (First Officer) to [request priority handling] with ATC and ask for a turn back to ZZZ. We completed the Engine Failure Severe Damage QRC and then I transferred control to the FO; while I completed the checklists. I advised the Flight Attendants and asked if they saw or smelled anything unusual. They were aware that the engine had failed and described a large fireball that erupted briefly from the engine. I sent a diversion ACARS message to Dispatch with the note; "Engine failure" in the comments section. I also called ZZZ Ops and ensured they knew we were returning; and that Dispatch was aware. I updated the performance data and sent for landing data for Runway XX. I only sent for flaps 30 numbers as I was getting task loaded at this point and ATC had just turned us onto a final approach. I knew the runway was one of the longest; so I wasn't really concerned with having the exact stopping margin. Had I sent for the Flaps 15 Engine Failure numbers; I would have also received the prompt for brake cooling numbers. With the distraction of coordinating with ATC and ARFF (Airport Rescue and Firefighting); we did not check those after landing. I took control at about 1;000ft agl. We were a little fast and I used the speedbrake at flaps 15 to slow us down. We were also slightly low on the PAPI; but I was able to easily correct; and we landed uneventfully in the Touchdown Zone. I stopped the aircraft in the runway and instructed the ARFF Crew to inspect the entire aircraft. After receiving the "All Clear;" we taxied to the gate.",,,,"Air carrier Captain reported an engine failure during climb. The pilots turned back to the departure airport.",
